title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,rpe
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Squat (Smith Machine),,,0,warmup,105,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Squat (Smith Machine),,,1,normal,155,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Squat (Smith Machine),,,2,normal,185,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Squat (Smith Machine),,,3,normal,195,12,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Squat (Smith Machine),,,4,normal,185,6,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Squat (Smith Machine),,,5,normal,165,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Standing Calf Raise (Smith),,,0,normal,65,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Standing Calf Raise (Smith),,,1,normal,80,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Standing Calf Raise (Smith),,,2,normal,90,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Seated Leg Curl (Machine),,,0,normal,100,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Seated Leg Curl (Machine),,,1,normal,122.5,14,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Seated Leg Curl (Machine),,,2,normal,120,12,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Seated Leg Curl (Machine),,,3,normal,110,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Leg Extension (Machine),,,0,normal,80,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Leg Extension (Machine),,,1,normal,105,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Leg Extension (Machine),,,2,normal,127.5,15,,,
I'm Still Standing - Elton John,"12 Sep 2024, 21:46","12 Sep 2024, 23:16",,Leg Extension (Machine),,,3,normal,132.5,14,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Pull Up (Assisted),,,0,warmup,75,15,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Pull Up (Assisted),,,1,normal,45,15,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Pull Up (Assisted),,,2,normal,30,10,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Pull Up (Assisted),,,3,normal,35,12,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Pull Up (Assisted),,,4,normal,45,12,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Pull Up (Assisted),,,5,normal,50,15,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Seated Row (Machine),,,0,normal,40,15,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Seated Row (Machine),,,1,normal,55,15,,,
Back in Black - AC/DC,"11 Sep 2024, 22:02","11 Sep 2024, 23:14",,Seated Row (Machine),,,2,normal,60,11,,,
